player_url,player,season_from,season_to,position,height,weight,birth_date,college,is_active,hall_of_fame
/players/b/bibbyhe01.html,Henry Bibby,1973,1981,G,6-1,185,November 24 1949,UCLA,retired,no
/players/b/bibbymi01.html,Mike Bibby,1999,2012,G,6-1,190,May 13 1978,Arizona,retired,no
/players/b/biedeed01.html,Ed Biedenbach,1969,1969,G,6-1,175,August 12 1945,NC State,retired,no
/players/b/biedran01.html,Andris Biedriņš,2005,2014,C,6-11,240,April 2 1986,,retired,no
/players/b/bielkdo01.html,Don Bielke,1956,1956,C,6-7,240,May 10 1932,Valparaiso,retired,no
/players/b/bigelbo01.html,Bob Bigelow,1976,1979,F-G,6-7,215,December 26 1953,Penn,retired,no
/players/b/billili01.html,Lionel Billingy,1975,1975,F-C,6-9,215,August 31 1952,Duquesne,retired,no
/players/b/billuch01.html,Chauncey Billups,1998,2014,G,6-3,202,September 25 1976,Colorado,retired,no
/players/b/bingda01.html,Dave Bing,1967,1978,G,6-3,180,November 24 1943,Syracuse,retired,yes
/players/b/biniojo01.html,Joe Binion,1987,1987,F,6-8,235,March 26 1961,North Carolina A&T,retired,no
/players/b/birchkh01.html,Khem Birch,2018,2023,C-F,6-9,233,September 28 1992,Pitt,active,no
/players/b/birdja01.html,Jabari Bird,2018,2018,G,6-6,198,July 3 1994,California,retired,no
/players/b/birdje01.html,Jerry Bird,1959,1959,F,6-6,210,February 2 1935,Kentucky,retired,no
/players/b/birdla01.html,Larry Bird,1980,1992,F,6-9,220,December 7 1956,Indiana State University,retired,yes
/players/b/birdsot01.html,Otis Birdsong,1978,1989,G,6-3,190,December 9 1955,Houston,retired,no
/players/b/bishoga01.html,Gale Bishop,1949,1949,F,6-3,195,June 4 1922,Washington State,retired,no
/players/b/bitadgo01.html,Goga Bitadze,2020,2024,C,6-11,250,July 20 1999,,active,no
/players/b/bitimon01.html,Onuralp Bitim,2024,2024,F,6-6,215,March 31 1999,,active,no
/players/b/biyombi01.html,Bismack Biyombo,2012,2024,C-F,6-8,255,August 28 1992,,active,no
/players/b/bjeline01.html,Nemanja Bjelica,2016,2022,F,6-10,234,May 9 1988,,retired,no
/players/b/blabuw01.html,Uwe Blab,1986,1990,C,7-1,252,March 26 1962,Indiana,retired,no
/players/b/blackan01.html,Anthony Black,2024,2024,G,6-7,198,January 20 2004,Arkansas,active,no
/players/b/blackch01.html,Charlie Black,1949,1952,F-C,6-5,200,June 15 1921,Kansas,retired,no
/players/b/blackle01.html,Leaky Black,2024,2024,F,6-9,205,June 14 1999,UNC,active,no
/players/b/blackno01.html,Norman Black,1981,1981,G,6-5,185,November 12 1957,Saint Joseph's,retired,no
/players/b/blackta01.html,Tarik Black,2015,2018,C-F,6-9,250,November 22 1991,Memphis,retired,no
/players/b/blackto01.html,Tom Black,1971,1971,C,6-10,220,July 9 1941,South Dakota State,retired,no
/players/b/blackro01.html,Rolando Blackman,1982,1994,G,6-6,190,February 26 1959,Kansas State,retired,no
/players/b/blackal01.html,Alex Blackwell,1993,1993,F,6-6,250,June 27 1970,Monmouth University,retired,no
/players/b/blackco01.html,Cory Blackwell,1985,1985,F,6-6,210,March 27 1963,Wisconsin,retired,no
/players/b/blackja01.html,James Blackwell,1995,1995,G,6-0,190,February 25 1968,Dartmouth College,retired,no
/players/b/blackna01.html,Nate Blackwell,1988,1988,G,6-4,170,February 15 1965,Temple,retired,no
/players/b/blairde01.html,DeJuan Blair,2010,2016,F-C,6-7,270,April 22 1989,Pitt,retired,no
/players/b/blakest01.html,Steve Blake,2004,2016,G,6-3,172,February 26 1980,Maryland,retired,no
/players/b/blakean01.html,Antonio Blakeney,2018,2019,G,6-4,192,October 4 1996,LSU,retired,no
/players/b/blalowi01.html,Will Blalock,2007,2007,G,6-0,205,September 8 1983,Iowa State,retired,no
/players/b/blanege01.html,George Blaney,1962,1962,G,6-1,175,November 12 1939,Holy Cross,retired,no
/players/b/blankla01.html,Lance Blanks,1991,1993,G,6-4,190,September 9 1966,Virginia,retired,no
/players/b/blantri01.html,Ricky Blanton,1993,1993,F,6-7,215,April 21 1966,LSU,retired,no
/players/b/blatcan01.html,Andray Blatche,2006,2014,F,6-11,235,August 22 1986,,retired,no
/players/b/blaylmo01.html,Mookie Blaylock,1990,2002,G,6-0,180,March 20 1967,Midland College,retired,no
/players/b/bledser01.html,Eric Bledsoe,2011,2022,G,6-1,214,December 9 1989,Kentucky,retired,no
/players/b/blevike01.html,Keljin Blevins,2021,2022,F,6-4,200,November 24 1995,Southern Miss,retired,no
/players/b/blevile01.html,Leon Blevins,1951,1951,G,6-2,160,June 25 1926,Arizona,retired,no
/players/b/blockjo01.html,John Block,1967,1976,F-C,6-9,207,April 16 1944,USC,retired,no
/players/b/bloommi01.html,Mike Bloom,1948,1949,F-C,6-6,190,January 14 1915,Temple,retired,no
/players/b/blossja01.html,Jaron Blossomgame,2019,2019,F,6-8,220,September 16 1993,Clemson,retired,no
/players/b/blounco01.html,Corie Blount,1994,2004,F,6-9,240,January 4 1969,Cincinnati,retired,no
/players/b/blounma01.html,Mark Blount,2001,2009,C,7-0,230,November 30 1975,Pitt,retired,no
/players/b/blueva01.html,Vander Blue,2014,2018,G,6-4,200,July 17 1992,Marquette,retired,no
/players/b/blumera01.html,Ray Blume,1982,1982,G,6-4,185,September 23 1958,Oregon State,retired,no
/players/b/bobbne01.html,Nelson Bobb,1950,1953,G,6-0,170,February 25 1924,Temple,retired,no
